index,SuhuMin,SuhuMax,Hujan,Penguapan,SinarMatahari,KecepatanAnginTerkencang,KecepatanAngin9am,KecepatanAngin3pm,Kelembaban9am,Kelembaban3pm,Tekanan9am,Tekanan3pm,Awan9am,Awan3pm,Suhu9am,Suhu3pm,BersaljuHariIni,BersaljuBesok,PrediksiBersaljuBesok
25,0.3411078717201166,14.6,1.4,0.03678929765886288,0.25517241379310346,0.3557692307692308,0.3076923076923077,0.3076923076923077,0.7551020408163265,0.5918367346938774,0.7227191413237932,0.7117647058823522,0.875,0.875,0.2695417789757412,0.23486682808716702,Ya,Tidak,Tidak
27,0.1282798833819242,13.8,Tidak,0.046822742474916385,0.5310344827586206,0.1826923076923077,0.2,0.23076923076923078,0.7551020408163265,0.28571428571428564,0.8622540250447237,0.8490196078431396,0.125,0.75,0.11859838274932613,0.19128329297820817,Tidak,Tidak,Tidak
28,0.2594752186588921,20.9,Tidak,0.06688963210702341,0.5379310344827586,0.1923076923076923,0.26153846153846155,0.26153846153846155,0.4999999999999999,0.31632653061224486,0.6135957066189661,0.5137254901960766,0.5,0.375,0.34231805929919135,0.3728813559322033,Tidak,Ya,Tidak
29,0.597667638483965,36.5,Tidak,0.10367892976588629,0.8137931034482759,0.33653846153846156,0.5384615384615385,0.23076923076923078,0.4795918367346938,0.15306122448979592,0.49373881932021746,0.38431372549019827,0.125,0.125,0.568733153638814,0.7433414043583534,Tidak,Ya,Tidak
30,0.49271137026239054,18.9,Tidak,0.05351170568561873,Tidak,0.125,0.09230769230769231,0.16923076923076924,0.7448979591836734,0.6632653061224489,0.774597495527729,0.7470588235294144,0.875,0.875,0.36118598382749323,0.3147699757869249,Tidak,Tidak,Tidak
32,0.22448979591836732,21.8,Tidak,0.11036789297658862,0.9241379310344827,0.25,0.13846153846153847,0.2923076923076923,0.5918367346938774,0.33673469387755095,0.5974955277280856,0.5764705882352956,0.125,0.125,0.4070080862533692,0.38498789346246964,Tidak,Tidak,Tidak
35,0.5510204081632653,21.8,Tidak,0.21070234113712374,0.593103448275862,0.3942307692307692,0.47692307692307695,0.46153846153846156,0.44897959183673464,0.31632653061224486,0.6672629695885526,0.6352941176470601,0.75,0.625,0.45552560646900264,0.397094430992736,Tidak,Tidak,Tidak
36,0.7725947521865888,25.3,1.4,0.10367892976588629,0.1793103448275862,0.3942307692307692,0.36923076923076925,0.3384615384615385,0.7857142857142856,0.7040816326530611,0.6672629695885526,0.6372549019607838,0.875,0.875,0.6361185983827493,0.49152542372881347,Ya,Ya,Ya
39,0.8396501457725947,29.3,22.0,0.15719063545150502,0.027586206896551724,0.1923076923076923,0.2,0.1076923076923077,0.9081632653061223,0.7857142857142856,0.4847942754919501,0.39803921568627487,Ya,Ya,0.633423180592992,0.5738498789346246,Ya,Ya,Ya
41,0.4110787172011662,16.0,Tidak,0.03678929765886288,0.0896551724137931,0.1923076923076923,0.26153846153846155,0.3076923076923077,0.7040816326530611,0.7857142857142856,0.5474060822898039,0.46078431372549034,0.75,Ya,0.28571428571428564,0.23486682808716702,Tidak,Ya,Ya
42,0.3177842565597667,23.0,Tidak,0.07357859531772576,0.6758620689655173,0.1634615384615385,0.2,0.2,0.5612244897959183,0.23469387755102042,0.6869409660107344,0.6392156862745111,0.5,0.875,0.41239892183288407,0.43583535108958826,Tidak,Tidak,Tidak
44,0.3119533527696793,17.0,Tidak,0.03678929765886288,0.4896551724137931,0.1634615384615385,0.1076923076923077,0.13846153846153847,0.6632653061224489,0.4591836734693877,0.8926654740608235,0.882352941176471,0.875,0.125,0.2884097035040431,0.2857142857142857,Tidak,Tidak,Tidak
46,0.7434402332361515,27.2,4.2,0.14046822742474915,0.5862068965517241,0.25,0.1076923076923077,0.3076923076923077,0.8673469387755101,0.6632653061224489,0.5760286225402531,0.537254901960786,0.5,0.625,0.6037735849056604,0.47215496368038734,Ya,Tidak,Tidak
48,0.271137026239067,17.0,1.2,0.046822742474916385,0.6344827586206896,0.23076923076923078,0.13846153846153847,0.23076923076923078,0.6428571428571428,0.44897959183673464,0.6332737030411444,0.6352941176470601,0.125,0.75,0.33153638814016173,0.2808716707021791,Ya,Tidak,Tidak
50,0.5393586005830904,24.6,0.4,0.06688963210702341,0.6551724137931034,0.1634615384615385,0.03076923076923077,0.23076923076923078,0.7040816326530611,0.5510204081632653,0.6940966010733476,0.6490196078431403,0.625,0.25,0.5121293800539084,0.43583535108958826,Tidak,Tidak,Tidak
51,0.5247813411078717,22.2,Tidak,0.07357859531772576,0.7310344827586207,0.21153846153846156,0.3384615384615385,0.2923076923076923,0.6428571428571428,0.4795918367346938,0.5456171735241497,0.5607843137254918,0.875,0.5,0.398921832884097,0.40920096852300236,Tidak,Tidak,Tidak
55,0.7405247813411077,32.8,Tidak,0.09364548494983277,0.7586206896551724,0.21153846153846156,0.26153846153846155,0.16923076923076924,0.44897959183673464,0.21428571428571427,0.5527728085867629,0.4941176470588218,Tidak,Tidak,0.6522911051212938,0.6610169491525423,Tidak,Tidak,Tidak
56,0.4023323615160349,25.9,Tidak,0.10702341137123746,0.8551724137931035,0.2692307692307692,0.2923076923076923,0.26153846153846155,0.4183673469387755,0.44897959183673464,0.5241502683363173,0.4980392156862763,0.125,0.125,0.5390835579514826,0.46489104116222746,Tidak,Tidak,Tidak
57,0.6209912536443148,27.8,Tidak,0.11705685618729096,0.6,0.2884615384615385,0.26153846153846155,0.4,0.5408163265306122,0.5408163265306122,0.5992844364937397,0.5392156862745097,0.625,0.125,0.6199460916442049,0.5278450363196125,Tidak,Tidak,Tidak
58,0.737609329446064,27.7,0.4,0.09698996655518394,0.06896551724137931,0.23076923076923078,0.2,0.3076923076923077,0.8877551020408162,0.520408163265306,0.43470483005366845,0.3607843137254889,Ya,Ya,0.555256064690027,0.5496368038740919,Tidak,Tidak,Tidak
60,0.32069970845481044,20.4,Tidak,0.05351170568561873,0.40689655172413797,0.1826923076923077,0.1076923076923077,0.2923076923076923,0.7551020408163265,0.5714285714285714,0.6457960644007166,0.613725490196078,0.625,0.375,0.2776280323450135,0.3486682808716706,Tidak,Tidak,Tidak
61,0.3119533527696793,13.5,Tidak,0.01003344481605351,0.3172413793103448,0.08653846153846154,0.06153846153846154,0.16923076923076924,0.9183673469387754,0.7244897959183673,0.8032200357781747,0.8117647058823536,Ya,0.625,0.2210242587601078,0.1694915254237288,Tidak,Tidak,Tidak
66,0.4314868804664722,28.4,Tidak,0.17725752508361203,0.7724137931034483,0.1826923076923077,0.1076923076923077,0.2,0.2959183673469387,0.2755102040816326,0.5974955277280856,0.5117647058823529,Tidak,Tidak,0.582210242587601,0.5108958837772396,Tidak,Tidak,Tidak
67,0.6588921282798832,28.4,Tidak,0.11036789297658862,0.6,0.14423076923076922,0.06153846153846154,0.16923076923076924,0.693877551020408,0.520408163265306,0.6243291592128806,0.5784313725490193,0.25,0.25,0.6172506738544474,0.5157384987893462,Tidak,Tidak,Tidak
70,0.4693877551020408,27.5,0.2,0.043478260869565216,0.3931034482758621,0.3557692307692308,0.23076923076923078,0.47692307692307695,0.7142857142857142,0.23469387755102042,0.5724508050089447,0.48039215686274517,0.875,0.875,0.4420485175202156,0.5302663438256657,Tidak,Tidak,Tidak
71,0.9358600583090377,43.9,Tidak,0.23076923076923078,0.5862068965517241,0.31730769230769235,0.13846153846153847,0.3076923076923077,0.14285714285714285,0.04081632653061225,0.45080500894454545,0.38039215686274375,0.875,0.625,0.8221024258760108,0.9346246973365616,Tidak,Tidak,Tidak
72,0.9125364431486879,34.5,Tidak,0.12040133779264214,0.7034482758620689,0.21153846153846156,0.16923076923076924,0.36923076923076925,0.6122448979591836,0.4897959183673469,0.43112701252236363,0.3470588235294123,0.625,0.25,0.8086253369272237,0.6949152542372881,Tidak,Tidak,Tidak
73,0.6763848396501456,32.4,Tidak,0.2140468227424749,0.7999999999999999,0.3076923076923077,0.2,0.36923076923076925,0.43877551020408156,0.19387755102040816,0.5599284436493761,0.5215686274509821,0.625,0.25,0.6037735849056604,0.6295399515738498,Tidak,Tidak,Tidak
74,0.7638483965014576,36.1,Tidak,0.2374581939799331,0.8137931034482759,0.44230769230769235,0.26153846153846155,0.4,0.36734693877551017,0.18367346938775508,0.4168157423971408,0.3372549019607831,0.25,0.75,0.7654986522911051,0.7433414043583534,Tidak,Tidak,Tidak
75,0.6209912536443148,31.9,Tidak,0.13377926421404682,0.7862068965517242,0.1923076923076923,0.23076923076923078,0.2,0.4285714285714285,0.33673469387755095,0.5098389982110909,0.42549019607843164,Tidak,0.25,0.6522911051212938,0.6222760290556899,Tidak,Tidak,Tidak
76,0.4723032069970845,19.1,2.8,0.033444816053511704,0.32413793103448274,0.25,0.09230769230769231,0.3076923076923077,0.9081632653061223,0.5510204081632653,0.5921288014311301,0.6392156862745111,0.875,0.875,0.38274932614555257,0.32929782082324444,Ya,Tidak,Tidak
77,0.32361516034985416,12.3,0.4,0.01003344481605351,0.42068965517241375,0.21153846153846156,0.13846153846153847,0.3076923076923077,0.8673469387755101,0.5714285714285714,0.8264758497316649,0.8117647058823536,0.25,0.875,0.2048517520215633,0.1428571428571428,Tidak,Tidak,Tidak
78,0.38483965014577254,21.2,0.6,0.11371237458193979,0.8896551724137931,0.375,0.3076923076923077,0.23076923076923078,0.4285714285714285,0.33673469387755095,0.3846153846153868,0.3941176470588239,0.25,0.25,0.39353099730458213,0.3486682808716706,Tidak,Tidak,Tidak
86,0.5160349854227404,21.2,0.4,0.06688963210702341,0.6620689655172414,0.1923076923076923,0.1076923076923077,0.26153846153846155,0.846938775510204,0.5918367346938774,0.6887298747763886,0.7098039215686285,0.5,0.875,0.3881401617250673,0.35593220338983045,Tidak,Tidak,Tidak
87,0.6122448979591836,30.1,Tidak,0.13377926421404682,0.6344827586206896,0.2692307692307692,0.2,0.2,0.6020408163265305,0.2551020408163265,0.3881932021466916,0.3294117647058812,0.75,0.875,0.5202156334231806,0.5738498789346246,Tidak,Tidak,Tidak
89,0.7725947521865888,31.2,Tidak,0.1454849498327759,0.43448275862068964,0.3557692307692308,0.4,0.3076923076923077,0.39795918367346933,0.44897959183673464,0.5670840787119893,0.5843137254901976,0.75,0.5,0.7142857142857143,0.6053268765133171,Tidak,Tidak,Tidak
90,0.23323615160349853,23.1,Tidak,0.07357859531772576,0.7034482758620689,0.1826923076923077,0.16923076923076924,0.13846153846153847,0.520408163265306,0.19387755102040816,0.7817531305903387,0.7549019607843128,0.75,0.25,0.3045822102425876,0.4213075060532687,Tidak,Tidak,Tidak
91,0.6093294460641399,30.1,Tidak,0.12374581939799331,0.7655172413793103,0.25,0.2923076923076923,0.3384615384615385,0.5918367346938774,0.43877551020408156,0.5813953488372121,0.5196078431372548,0.125,0.125,0.633423180592992,0.5859564164648909,Tidak,Tidak,Tidak
93,0.8221574344023322,33.3,Tidak,0.0903010033444816,0.7448275862068966,0.3076923076923077,0.3076923076923077,0.36923076923076925,0.5816326530612245,0.19387755102040816,0.5187835420393583,0.4549019607843121,0.25,0.25,0.7088948787061994,0.6755447941888619,Tidak,Tidak,Tidak
94,0.521865889212828,28.7,Tidak,0.11371237458193979,0.7655172413793103,0.1923076923076923,0.16923076923076924,0.3076923076923077,0.3061224489795918,0.28571428571428564,0.5241502683363173,0.43333333333333357,0.25,0.875,0.6361185983827493,0.5375302663438256,Tidak,Tidak,Tidak
95,0.5451895043731778,19.9,Tidak,0.1003344481605351,0.0896551724137931,0.2692307692307692,0.26153846153846155,0.2,0.7959183673469387,0.9591836734693877,0.6046511627906987,0.5980392156862742,Ya,0.875,0.38544474393531,0.24939467312348662,Tidak,Ya,Ya
99,0.7959183673469387,34.1,Tidak,0.06688963210702341,0.7310344827586207,0.25,0.3076923076923077,0.2923076923076923,0.6530612244897959,0.3571428571428571,0.5384615384615401,0.4823529411764724,0.375,0.125,0.706199460916442,0.6973365617433414,Tidak,Tidak,Tidak
101,0.3527696793002915,14.3,0.2,0.013377926421404682,0.18620689655172415,0.08653846153846154,Tidak,0.2,0.9591836734693877,0.7346938775510203,0.7674418604651159,0.764705882352942,Ya,0.875,0.25606469002695414,0.20581113801452783,Tidak,Tidak,Tidak
109,0.5131195335276967,24.5,Tidak,0.09698996655518394,0.9103448275862068,0.4807692307692308,0.46153846153846156,0.5076923076923077,0.5816326530612245,0.32653061224489793,0.5974955277280856,0.5411764705882369,0.125,0.625,0.431266846361186,0.460048426150121,Tidak,Tidak,Tidak
111,0.10495626822157433,18.2,Tidak,0.033444816053511704,0.6482758620689655,0.1634615384615385,0.09230769230769231,0.13846153846153847,0.7142857142857142,0.2755102040816326,0.5706618962432906,0.5274509803921568,0.125,0.375,0.22641509433962262,0.31719128329297813,Tidak,Tidak,Tidak
115,0.7230320699708453,28.6,Tidak,0.13377926421404682,0.7793103448275862,0.43269230769230776,0.13846153846153847,0.47692307692307695,0.673469387755102,0.520408163265306,0.7012522361359608,0.6823529411764717,0.125,0.25,0.6172506738544474,0.5375302663438256,Tidak,Tidak,Tidak
116,0.6559766763848396,25.3,6.0,0.07023411371237458,0.6827586206896552,0.2692307692307692,0.2,0.26153846153846155,0.9489795918367346,0.7142857142857142,0.7262969588551016,0.6745098039215698,0.125,0.625,0.490566037735849,0.4552058111380145,Ya,Tidak,Tidak
117,0.2215743440233236,17.7,Tidak,0.06688963210702341,0.6206896551724138,0.21153846153846156,0.2923076923076923,0.3076923076923077,0.520408163265306,0.31632653061224486,0.6779964221824706,0.6372549019607838,0.375,0.125,0.28032345013477084,0.2857142857142857,Tidak,Tidak,Tidak
120,0.41982507288629733,11.8,7.8,Tidak,0.034482758620689655,0.375,0.3384615384615385,0.26153846153846155,0.693877551020408,0.7448979591836734,0.5330948121645811,0.5960784313725505,0.875,0.875,0.2722371967654986,0.15012106537530262,Ya,Tidak,Ya
128,0.43440233236151593,26.7,Tidak,0.11036789297658862,0.710344827586207,0.3076923076923077,0.13846153846153847,0.3076923076923077,0.4693877551020408,0.4183673469387755,0.6368515205724528,0.5921568627450995,Tidak,0.125,0.555256064690027,0.5036319612590798,Tidak,Tidak,Tidak
129,0.6822157434402331,40.2,Tidak,0.04013377926421404,0.696551724137931,0.4615384615384615,0.09230769230769231,0.36923076923076925,0.7959183673469387,0.10204081632653061,0.6261180679785348,0.5529411764705863,0.625,0.5,0.5606469002695418,0.8401937046004841,Tidak,Tidak,Tidak
132,0.32944606413994165,17.7,1.4,0.023411371237458192,0.6137931034482759,0.1634615384615385,0.1076923076923077,0.16923076923076924,Ya,0.5612244897959183,0.6225402504472299,0.5980392156862742,0.375,0.125,0.2021563342318059,0.30024213075060524,Ya,Tidak,Tidak
139,0.6501457725947521,29.3,Tidak,0.15050167224080266,0.8275862068965517,0.33653846153846156,0.26153846153846155,0.4307692307692308,0.31632653061224486,0.33673469387755095,0.4329159212880178,0.41176470588235503,0.125,0.125,0.7035040431266846,0.5423728813559321,Tidak,Tidak,Tidak
143,0.49271137026239054,18.3,Tidak,0.07023411371237458,0.5655172413793103,0.4134615384615385,0.2,0.47692307692307695,0.6122448979591836,0.6326530612244897,0.6082289803220036,0.62156862745098,0.375,0.875,0.4420485175202156,0.29055690072639223,Tidak,Ya,Tidak
144,0.41982507288629733,28.2,Tidak,0.05351170568561873,0.7241379310344828,0.31730769230769235,0.2,0.4,0.6224489795918366,0.28571428571428564,0.6332737030411444,0.5627450980392155,0.375,0.375,0.4743935309973045,0.5617433414043582,Tidak,Tidak,Tidak
146,0.553935860058309,19.8,5.8,0.06354515050167224,0.5655172413793103,0.1923076923076923,0.13846153846153847,0.2,0.7040816326530611,0.4081632653061224,0.6726296958855116,0.6882352941176499,0.625,0.375,0.3962264150943396,0.33898305084745756,Ya,Tidak,Tidak
149,0.24489795918367346,25.1,Tidak,0.13377926421404682,0.9034482758620689,0.1634615384615385,0.3076923076923077,0.16923076923076924,0.38775510204081626,0.11224489795918366,0.7692307692307736,0.7098039215686285,Tidak,Tidak,0.3719676549865229,0.4552058111380145,Tidak,Tidak,Tidak
151,0.6268221574344023,24.6,0.2,0.12374581939799331,0.020689655172413793,0.3076923076923077,0.4,0.46153846153846156,0.6632653061224489,0.4693877551020408,0.5796064400715579,0.5764705882352956,Ya,Ya,0.568733153638814,0.4503631961259079,Tidak,Tidak,Tidak
153,0.8862973760932943,35.0,Tidak,0.14046822742474915,0.7931034482758621,0.23076923076923078,0.16923076923076924,0.23076923076923078,0.5714285714285714,0.21428571428571427,0.41323792486583244,0.3509803921568633,0.125,0.25,0.8032345013477088,0.711864406779661,Tidak,Tidak,Tidak
154,0.5830903790087463,38.5,Tidak,0.19732441471571907,0.9103448275862068,0.1923076923076923,0.16923076923076924,0.2,0.17346938775510204,0.10204081632653061,0.5420393559928449,0.5058823529411782,Tidak,Tidak,0.8194070080862533,0.8062953995157384,Tidak,Tidak,Tidak
155,0.4023323615160349,17.4,12.0,0.05016722408026755,0.46206896551724136,0.33653846153846156,0.13846153846153847,0.2923076923076923,0.683673469387755,0.520408163265306,0.5402504472271943,0.5509803921568626,0.875,0.625,0.3288409703504043,0.2857142857142857,Ya,Ya,Tidak
159,0.5947521865889212,20.3,6.0,0.12374581939799331,0.8137931034482759,0.43269230769230776,0.4307692307692308,0.4307692307692308,0.6020408163265305,0.5306122448979591,0.6046511627906987,0.6078431372549034,0.75,0.625,0.4959568733153638,0.33656174334140426,Ya,Tidak,Tidak
160,0.7784256559766762,27.3,1.8,0.06020066889632107,0.18620689655172415,0.23076923076923078,0.26153846153846155,0.4,0.8673469387755101,0.7346938775510203,0.5670840787119893,0.5117647058823529,0.875,0.875,0.6064690026954178,0.4866828087167069,Ya,Tidak,Ya
161,0.5393586005830904,26.3,Tidak,0.10702341137123746,0.9586206896551724,0.25,0.09230769230769231,0.26153846153846155,0.7551020408163265,0.520408163265306,0.5295169946332763,0.5392156862745097,0.25,0.375,0.4959568733153638,0.4842615012106537,Tidak,Tidak,Tidak
167,0.8425655976676383,30.4,0.2,0.08361204013377926,0.42758620689655175,0.23076923076923078,0.2923076923076923,0.06153846153846154,0.7857142857142856,0.7959183673469387,0.4901610017889091,0.4529411764705884,0.75,0.875,0.7008086253369272,0.5399515738498789,Tidak,Ya,Ya
172,0.346938775510204,28.4,Tidak,0.06688963210702341,0.710344827586207,0.1826923076923077,0.1076923076923077,0.13846153846153847,0.2959183673469387,0.10204081632653061,0.6618962432915936,0.6019607843137251,Tidak,Tidak,0.46091644204851745,0.5641646489104115,Tidak,Tidak,Tidak
174,0.4868804664723031,23.4,Tidak,0.23411371237458192,0.3103448275862069,0.2692307692307692,0.36923076923076925,0.36923076923076925,0.6428571428571428,0.510204081632653,0.7262969588551016,0.6823529411764717,0.875,0.75,0.42857142857142855,0.4285714285714285,Tidak,Ya,Tidak
175,0.4402332361516035,26.4,Tidak,0.16722408026755853,0.7999999999999999,0.25,0.26153846153846155,0.3384615384615385,0.4999999999999999,0.4081632653061224,0.5992844364937397,0.537254901960786,0.625,0.25,0.5498652291105122,0.4891041162227602,Tidak,Tidak,Tidak
180,0.9125364431486879,33.8,Tidak,0.16053511705685616,0.696551724137931,0.1923076923076923,0.16923076923076924,0.3076923076923077,0.6020408163265305,0.520408163265306,0.44186046511628163,0.3921568627451002,0.375,0.375,0.7924528301886792,0.6610169491525423,Tidak,Tidak,Tidak
185,0.32361516034985416,30.4,Tidak,0.07692307692307691,0.8275862068965517,0.14423076923076922,0.3076923076923077,0.2,0.6428571428571428,0.21428571428571427,0.7084078711985704,0.6647058823529406,0.5,0.625,0.36657681940700804,0.5932203389830507,Tidak,Tidak,Tidak
188,0.5510204081632653,20.0,1.4,0.03678929765886288,0.06896551724137931,0.23076923076923078,0.1076923076923077,0.16923076923076924,0.8571428571428571,0.8979591836734693,0.5599284436493761,0.5098039215686292,Ya,Ya,0.42857142857142855,0.3196125907990314,Ya,Tidak,Ya
189,0.39650145772594747,29.2,Tidak,0.12040133779264214,0.8827586206896552,0.1923076923076923,0.26153846153846155,0.16923076923076924,0.43877551020408156,0.09183673469387754,0.737030411449016,0.6607843137254896,Tidak,Tidak,0.4016172506738544,0.5447941888619854,Tidak,Tidak,Tidak
190,0.40816326530612246,20.5,Tidak,0.046822742474916385,0.1793103448275862,0.2884615384615385,0.2,0.3076923076923077,0.7959183673469387,0.520408163265306,0.6905187835420392,0.643137254901962,0.875,0.875,0.2911051212938005,0.35835351089588374,Tidak,Ya,Tidak
193,0.1749271137026239,12.5,0.4,0.016722408026755852,0.47586206896551725,0.10576923076923078,Tidak,0.13846153846153847,0.9693877551020407,0.4999999999999999,0.7620751341681604,0.7470588235294144,0.125,0.375,0.0835579514824798,0.15738498789346245,Tidak,Tidak,Tidak
194,0.6355685131195334,28.0,Tidak,0.056856187290969896,0.7310344827586207,0.08653846153846154,0.06153846153846154,0.16923076923076924,0.7244897959183673,0.5714285714285714,0.7191413237924849,0.6647058823529406,0.375,0.25,0.6064690026954178,0.5157384987893462,Tidak,Ya,Tidak
201,0.5131195335276967,24.9,Tidak,0.06688963210702341,0.7586206896551724,0.21153846153846156,0.13846153846153847,0.23076923076923078,0.520408163265306,0.26530612244897955,0.7280858676207522,0.6862745098039227,Tidak,Tidak,0.43935309973045816,0.47215496368038734,Tidak,Tidak,Tidak
203,0.6443148688046646,21.0,3.2,0.046822742474916385,0.013793103448275862,0.10576923076923078,0.2,0.13846153846153847,0.9285714285714285,0.9489795918367346,0.5796064400715579,0.5392156862745097,Ya,Ya,0.4824797843665768,0.35351089588377715,Ya,Ya,Ya
205,0.8979591836734693,31.8,Tidak,0.08361204013377926,0.32413793103448274,0.21153846153846156,0.26153846153846155,0.16923076923076924,0.673469387755102,0.6224489795918366,0.5008944543828271,0.41568627450980244,0.875,0.875,0.7628032345013477,0.6004842615012106,Tidak,Ya,Ya
210,0.33819241982507287,16.6,2.0,0.0903010033444816,0.7999999999999999,0.3557692307692308,0.36923076923076925,0.5076923076923077,0.4693877551020408,0.4795918367346938,0.4973166368515223,0.47254901960784323,0.25,0.625,0.3045822102425876,0.22518159806295396,Ya,Tidak,Tidak
213,0.43440233236151593,20.3,Tidak,0.04013377926421404,0.6551724137931034,0.21153846153846156,0.23076923076923078,0.26153846153846155,0.5918367346938774,0.36734693877551017,0.6422182468694118,0.6235294117647072,0.125,0.125,0.36388140161725063,0.3414043583535108,Tidak,Tidak,Tidak
216,0.40524781341107863,22.6,Tidak,0.05351170568561873,0.6551724137931034,0.07692307692307693,0.09230769230769231,0.09230769230769231,0.4591836734693877,0.36734693877551017,0.7119856887298788,0.6843137254901954,Tidak,0.125,0.40970350404312667,0.41162227602905566,Tidak,Tidak,Tidak
218,0.5947521865889212,19.6,Tidak,0.1003344481605351,0.42758620689655175,0.25,0.3076923076923077,0.3384615384615385,0.6224489795918366,0.4795918367346938,0.6493738819320249,0.650980392156864,0.875,0.625,0.4636118598382749,0.3341404358353511,Tidak,Tidak,Tidak
220,0.45189504373177836,34.6,Tidak,0.09364548494983277,0.6896551724137931,0.4615384615384615,0.4307692307692308,0.47692307692307695,0.4693877551020408,0.11224489795918366,0.6511627906976756,0.5960784313725505,0.875,0.75,0.5579514824797844,0.6731234866828086,Tidak,Tidak,Tidak
229,0.7463556851311951,29.9,0.2,0.09698996655518394,0.5862068965517241,0.21153846153846156,0.16923076923076924,0.36923076923076925,0.7448979591836734,0.5918367346938774,0.5974955277280856,0.5686274509803937,0.875,0.125,0.6415094339622641,0.5617433414043582,Tidak,Tidak,Tidak
230,0.19533527696793002,16.5,Tidak,0.04013377926421404,0.6206896551724138,0.1923076923076923,0.1076923076923077,0.23076923076923078,0.8163265306122448,0.4999999999999999,0.9016100178890873,0.8549019607843142,0.125,0.375,0.25606469002695414,0.2687651331719128,Tidak,Tidak,Tidak
235,0.23615160349854225,14.0,Tidak,0.07357859531772576,0.710344827586207,0.1634615384615385,0.06153846153846154,0.23076923076923078,0.7551020408163265,0.38775510204081626,0.9302325581395365,0.9313725490196063,Tidak,0.125,0.1994609164420485,0.20338983050847453,Tidak,Tidak,Tidak
240,0.5889212827988337,33.6,Tidak,0.22073578595317725,0.9241379310344827,0.25,0.26153846153846155,0.23076923076923078,0.5612244897959183,0.09183673469387754,0.5062611806797861,0.47450980392156694,Tidak,Tidak,0.490566037735849,0.6440677966101693,Tidak,Tidak,Tidak
